"Date","Price","Open","High","Low","Change %"
"10/08/2021","-0.213","-0.134","-0.124","-0.213","83.19%"
"10/07/2021","-0.116","-0.134","-0.116","-0.134","0.00%"
"10/06/2021","-0.116","-0.134","-0.116","-0.134","-0.43%"
"10/05/2021","-0.116","-0.134","-0.116","-0.134","0.00%"
"10/04/2021","-0.116","-0.134","-0.116","-0.134","-13.06%"
"10/03/2021","-0.134","-0.134","-0.134","-0.134","13.56%"
"10/01/2021","-0.118","-0.144","-0.118","-0.144","-0.84%"
"09/30/2021","-0.119","-0.144","-0.119","-0.144","-2.06%"
"09/29/2021","-0.122","-0.144","-0.122","-0.144","0.00%"
"09/28/2021","-0.122","-0.144","-0.122","-0.144","-15.62%"
"09/27/2021","-0.144","-0.122","-0.122","-0.144","0.00%"
"09/26/2021","-0.144","-0.144","-0.144","-0.144","-30.27%"
"09/24/2021","-0.206","-0.114","-0.114","-0.206","81.14%"
"09/23/2021","-0.114","-0.114","-0.114","-0.114","0.00%"
"09/22/2021","-0.114","-0.114","-0.114","-0.114","7.04%"
"09/21/2021","-0.106","-0.114","-0.106","-0.114","-6.58%"
"09/20/2021","-0.114","-0.114","-0.114","-0.114","6.05%"
"09/17/2021","-0.108","-0.119","-0.108","-0.119","-9.66%"
"09/16/2021","-0.119","-0.119","-0.108","-0.119","10.19%"
"09/15/2021","-0.108","-0.119","-0.108","-0.119","0.00%"
"09/14/2021","-0.108","-0.119","-0.108","-0.119","0.00%"
"09/13/2021","-0.108","-0.119","-0.108","-0.119","-8.82%"
"09/12/2021","-0.119","-0.119","-0.119","-0.119","9.68%"
"09/10/2021","-0.108","-0.119","-0.108","-0.119","-47.96%"
"09/09/2021","-0.208","-0.119","-0.119","-0.208","92.17%"
"09/08/2021","-0.108","-0.119","-0.108","-0.119","-0.46%"
"09/07/2021","-0.109","-0.119","-0.109","-0.119","0.00%"
"09/06/2021","-0.109","-0.119","-0.109","-0.119","-8.40%"
"09/05/2021","-0.119","-0.119","-0.119","-0.119","-43.06%"
