Security,LUTLTRUU Index,
Start Date,1/31/73 0:00,
End Date,7/24/25 0:00,
Period,D,
,,
Date,PX_LAST,VOLATILITY_30D
10/28/22,3116.43,22.4
10/27/22,3139.37,22.39
10/26/22,3109.32,22.05
10/25/22,3068.94,21.52
10/24/22,2989.64,19.49
10/21/22,3009.16,19.5
10/20/22,3062.34,19.16
10/19/22,3108.2,18.92
10/18/22,3164.22,19.19
10/17/22,3154.23,20.01
10/14/22,3166.03,20.2
10/13/22,3189.62,20.65
10/12/22,3219.43,20.64
10/11/22,3203.51,20.57
10/7/22,3235.28,20.54
10/6/22,3266.17,20.67
10/5/22,3281.77,21.23
10/4/22,3316.39,21.13
10/3/22,3324.32,21.15
9/30/22,3273.88,20.41
9/29/22,3308.13,20.61
9/28/22,3326.93,20.66
9/27/22,3223.17,17.73
9/26/22,3302.81,16.79
9/23/22,3367.7,16.09
9/22/22,3353.73,16.36
9/21/22,3437.74,15.9
9/20/22,3388.13,15.01
9/19/22,3420.01,14.89
9/16/22,3414.44,15.69
9/15/22,3437.67,16.75
9/14/22,3443.94,16.78
9/13/22,3436.24,17.5
9/12/22,3431.34,18.17
9/9/22,3455.93,19.61
9/8/22,3452.39,19.58
9/7/22,3481.21,19.74
9/6/22,3430.61,19.05
9/2/22,3509.94,18.03
9/1/22,3490.42,18.03
8/31/22,3554.69,18.2
8/30/22,3586.33,18.73
8/29/22,3576.2,18.73
8/26/22,3606.69,18.63
8/25/22,3584.16,18.72
8/24/22,3537.43,18.34
8/23/22,3562.06,18.37
8/22/22,3580.01,18.65
8/19/22,3594.75,18.68
8/18/22,3649.53,18.75
8/17/22,3642.97,19.08
8/16/22,3683.6,18.93
8/15/22,3669.37,19.47
8/12/22,3667.53,19.8
8/11/22,3634.4,19.7
8/10/22,3710.76,18.72
8/9/22,3733.22,19
8/8/22,3746.6,18.94
8/5/22,3695.06,18.78
8/4/22,3779.75,17.83
8/3/22,3778.45,17.92
8/2/22,3725.61,18.85
8/1/22,3800.28,18.47
7/29/22,3719.33,17.5
7/28/22,3726.89,17.53
7/27/22,3697.91,18.08
7/26/22,3714.18,18.49
7/25/22,3709.73,20.84
7/22/22,3746.55,20.7
7/21/22,3685.01,20.15
7/20/22,3627.7,19.77
7/19/22,3616.26,19.96
7/18/22,3636.08,20.58
7/15/22,3671.14,20.38
7/14/22,3649.97,20.3
7/13/22,3679.05,20.17
7/12/22,3640.67,20.52
7/11/22,3623.89,20.45
7/8/22,3564.09,19.71
7/7/22,3603.31,19.54
7/6/22,3632.88,20.27
7/5/22,3688.69,20.27
7/1/22,3645.54,20.22
6/30/22,3622.68,20.13
6/29/22,3593.84,20.83
6/28/22,3542.2,20.56
6/27/22,3529.36,20.52
6/24/22,3556.3,20.76
6/23/22,3602.62,20.45
6/22/22,3574.51,20.96
6/21/22,3487.3,19.66
6/17/22,3543.81,19.32
6/16/22,3530.13,19.73
6/15/22,3505.31,20.76
6/14/22,3443.49,19.94
6/13/22,3485.44,19.86
